GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
handistCollections,handist.collections.glb,CustomOneSidedMoveManager,3,160,0,6,1,40,1,9,1,6
handistCollections,handist.collections.glb,Config.LifelineAnswerMode,0,24,0,0,0,2,0,1,0,1
handistCollections,handist.collections.glb,GlbOperation.State,0,34,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,DistColGlb,71,504,1,15,11,107,1,31,0,24
handistCollections,handist.collections.glb,TimeoutBlocker,8,62,2,8,3,15,3,8,1,5
handistCollections,handist.collections.glb,GlbOperation,25,291,5,19,8,69,5,25,0,18
handistCollections,handist.collections.glb,GlbComputer.WorkReserve,0,104,0,8,0,23,0,7,0,3
handistCollections,handist.collections.glb,DistColGlbTask,16,596,2,32,8,128,2,27,0,12
handistCollections,handist.collections.glb,Assignment,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.glb,DistColGlbTask.Progress,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections.glb,DistMapGlb,2,6,0,0,1,3,1,1,1,1
handistCollections,handist.collections.glb,DistColGlb.DistColGlbError,0,31,0,0,0,4,0,1,0,1
handistCollections,handist.collections.glb,GlbComputer,190,697,12,54,25,152,12,41,0,20
handistCollections,handist.collections.glb,GlbComputer.LifelineToken,17,9,0,0,1,4,1,1,1,1
handistCollections,handist.collections.glb,GlbComputer.WorkerInfo,0,50,0,0,0,12,0,5,0,5
handistCollections,handist.collections.glb,GlbOperation.OperationCompletionManagedBlocker,1,24,1,1,1,11,1,4,0,4
handistCollections,handist.collections.glb,OperationBlocker,10,39,1,1,1,13,1,5,0,5
handistCollections,handist.collections.glb,DistFuture,0,57,1,5,0,18,1,9,0,7
handistCollections,handist.collections.glb,AbstractGlbHandle,4,14,0,2,2,5,1,3,1,2
handistCollections,handist.collections.glb,DistColGlbTask.DistColAssignment,23,310,4,20,5,62,6,15,2,7
handistCollections,handist.collections.glb,GlobalLoadBalancer,10,151,1,11,4,52,2,16,1,11
handistCollections,handist.collections.glb,Config,44,41,0,6,6,12,2,8,2,5
handistCollections,handist.collections.dist.util,ObjectOutput,8,109,1,1,3,34,2,11,1,11
handistCollections,handist.collections.dist.util,Pair,34,15,6,0,5,6,5,3,2,3
handistCollections,handist.collections.dist.util,IntFloatPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,MemberOfLazyObjectReference,0,17,0,0,0,5,0,2,0,2
handistCollections,handist.collections.dist.util,ObjectInput,13,61,1,1,4,19,3,8,2,8
handistCollections,handist.collections.dist.util,IntLongPair,9,0,0,0,4,0,1,0,1,0
handistCollections,handist.collections.dist.util,LazyObjectReference,6,34,0,2,2,12,0,3,0,2
handistCollections,handist.collections,Bag,15,738,1,65,9,184,1,72,0,40
handistCollections,handist.collections,SquareChunk.MyView,40,3,0,0,8,1,8,1,8,1
handistCollections,handist.collections,SquareChunk,328,546,18,20,47,97,18,32,6,25
handistCollections,handist.collections,SquareRange,238,304,42,24,27,52,35,24,10,16
handistCollections,handist.collections,ColumnIterator,48,53,2,2,14,11,4,3,2,3
handistCollections,handist.collections,RangedList.Box,0,6,0,0,0,3,0,1,0,1
handistCollections,handist.collections,ChunkedList.LongRangeOrdering,0,22,0,2,0,3,0,3,0,2
handistCollections,handist.collections,LazyRangedList,73,34,0,0,13,6,13,3,13,3
handistCollections,handist.collections,FutureN.ListResults,67,0,4,0,19,0,6,0,4,0
handistCollections,handist.collections,ChunkListIterator,63,172,2,10,10,35,4,15,2,11
handistCollections,handist.collections,SquareChunk.MySquareSiblingAccessor,17,47,7,7,2,9,8,3,1,3
handistCollections,handist.collections,Bag.It,0,65,0,10,0,17,0,8,0,3
handistCollections,handist.collections,SquareChunk.RowView,116,86,4,2,15,15,8,6,6,5
handistCollections,handist.collections,Bag.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,ChunkedList.It,0,83,0,10,0,26,0,8,0,3
handistCollections,handist.collections,ChunkedList.UnmodifiableView,302,0,0,0,76,0,56,0,56,0
handistCollections,handist.collections,FutureN.ReturnGivenResult,7,12,0,0,2,5,1,2,1,2
handistCollections,handist.collections,ParallelExecutionException,64,9,4,0,19,4,8,1,6,1
handistCollections,handist.collections,SquareRangedListAbstract,54,71,5,3,9,15,4,6,1,5
handistCollections,handist.collections,RangedList,24,619,4,46,5,140,5,58,2,36
handistCollections,handist.collections,FutureN.OnlyWait,14,0,0,0,6,0,3,0,3,0
handistCollections,handist.collections,LazyRangedList.Iter,0,30,0,0,0,7,0,3,0,3
handistCollections,handist.collections,LongRange,0,523,0,70,0,94,0,53,0,18
handistCollections,handist.collections,SquareRangedListView,251,0,4,0,50,0,26,0,24,0
handistCollections,handist.collections,Chunk,11,648,3,43,3,109,3,54,0,34
handistCollections,handist.collections,LongRange.It,0,30,0,2,0,5,0,4,0,3
handistCollections,handist.collections,SquareChunk.ColumnView,123,118,4,2,16,18,7,7,5,6
handistCollections,handist.collections,ChunkedList.new Consumer() {...},0,15,0,0,0,3,0,2,0,2
handistCollections,handist.collections,RangedListProduct,250,140,2,4,38,30,31,14,30,12
handistCollections,handist.collections,ChunkedList,60,1714,20,152,13,392,19,166,1,98
handistCollections,handist.collections,RangedListView,124,337,26,26,14,72,21,31,2,24
handistCollections,handist.collections,ColumnListIterator,174,80,8,4,32,16,14,5,9,4
handistCollections,handist.collections,ChunkIterator,0,85,0,4,0,21,0,7,0,5
handistCollections,handist.collections,ElementOverlapException,0,4,0,0,0,2,0,1,0,1
handistCollections,handist.collections,FutureN.ConsumeResults,65,0,4,0,22,0,6,0,4,0
handistCollections,handist.collections,FutureN,132,38,15,3,33,12,12,3,4,2
handistCollections,handist.collections.glb.util,ProgramStatistics,489,0,33,0,103,0,24,0,5,0
handistCollections,handist.collections.function,LongTBiConsumer,6,0,0,0,1,0,1,0,1,0
handistCollections,handist.collections.function,LongTBiConsumer.new LongTBiConsumer() {...},19,0,0,0,4,0,2,0,2,0
handistCollections,handist.collections.util,StringUtilities,9,6,3,1,2,2,3,1,1,1
handistCollections,handist.collections.util,SavedLog,190,247,21,17,47,50,23,14,8,10
handistCollections,handist.collections.util,SavedLog.Key,50,64,12,6,5,11,10,3,1,3
handistCollections,handist.collections.util,Splitter,26,46,0,0,7,9,1,3,1,3
handistCollections,handist.collections.dist,DistChunkedList.DistributionManager,7,6,0,0,2,2,1,1,1,1
handistCollections,handist.collections.dist,DistCollectionSatellite.Handle,0,29,0,2,0,9,0,3,0,2
handistCollections,handist.collections.dist,ElementLocationManager.ParameterErrorException,7,0,0,0,3,0,1,0,1,0
handistCollections,handist.collections.dist,ElementLocationManager.SystemError,7,0,0,0,3,0,1,0,1,0
handistCollections,handist.collections.dist,CachableArray,147,239,4,12,32,61,26,22,24,16
handistCollections,handist.collections.dist,TeamedPlaceGroup,153,1179,6,42,23,222,10,65,4,47
handistCollections,handist.collections.dist,DistConcurrentMap,10,43,0,0,3,9,2,4,2,4
handistCollections,handist.collections.dist,RangeRelocatable,55,0,6,0,12,0,6,0,3,0
handistCollections,handist.collections.dist,DistBag.DistBagTeam,14,48,0,2,4,15,1,5,1,4
handistCollections,handist.collections.dist,LoadBalancer.MapBalancer,60,0,6,0,15,0,8,0,5,0
handistCollections,handist.collections.dist,DistLog.LogItem,21,41,2,2,3,10,3,5,1,5
handistCollections,handist.collections.dist,TeamedPlaceGroup.new MPILauncher.Plugin() {...},3,12,0,2,1,5,1,4,1,3
handistCollections,handist.collections.dist,DistConcurrentMultiMap,10,53,0,0,3,12,2,6,2,6
handistCollections,handist.collections.dist,CollectiveMoveManager,16,280,0,18,6,61,3,16,3,7
handistCollections,handist.collections.dist,DistIdMap,534,208,38,5,118,52,47,15,26,14
handistCollections,handist.collections.dist,TeamedPlaceGroup.ObjectReference,0,10,0,0,0,4,0,2,0,2
handistCollections,handist.collections.dist,TeamOperations,638,53,48,4,103,15,30,6,6,4
handistCollections,handist.collections.dist,LongDistribution,123,0,6,0,23,0,11,0,8,0
handistCollections,handist.collections.dist,CollectiveRelocator.Bcast,16,157,0,6,6,30,0,6,0,3
handistCollections,handist.collections.dist,CollectiveRelocator.Gather,30,207,0,14,11,43,0,10,0,3
handistCollections,handist.collections.dist,CollectiveRelocator.Allgather,32,181,0,10,13,40,0,8,0,3
handistCollections,handist.collections.dist,LongRangeDistribution,117,0,12,0,22,0,11,0,5,0
handistCollections,handist.collections.dist,DistLog.ListDiff,32,0,0,0,6,0,2,0,2,0
handistCollections,handist.collections.dist,DistMultiMap,139,191,7,13,39,50,14,20,10,14
handistCollections,handist.collections.dist,DistCollectionSatellite,0,21,0,0,0,7,0,3,0,3
handistCollections,handist.collections.dist,Reducer,80,99,7,5,18,22,6,6,2,4
handistCollections,handist.collections.dist,DistLog.LogKey,4,110,4,10,2,17,4,8,0,5
handistCollections,handist.collections.dist,CollectiveRelocator,3,48,0,2,1,8,1,2,1,1
handistCollections,handist.collections.dist,LoadBalancer.ListBalancer,31,0,0,0,9,0,4,0,4,0
handistCollections,handist.collections.dist,GeneralDistManager,682,28,52,0,122,9,39,2,13,2
handistCollections,handist.collections.dist,GlobalOperations,77,75,1,1,22,21,10,9,9,9
handistCollections,handist.collections.dist,DistCol,140,239,8,13,24,64,15,21,9,16
handistCollections,handist.collections.dist,DistLog,203,722,26,70,35,166,27,63,8,34
handistCollections,handist.collections.dist,MultiMapEntryDispatcher,9,140,2,12,3,35,4,10,2,5
handistCollections,handist.collections.dist,DistLog.SetDiff,22,38,10,2,1,7,7,2,1,2
handistCollections,handist.collections.dist,DistChunkedList,421,211,28,10,70,60,28,26,13,22
handistCollections,handist.collections.dist,SinglePlaceGroup,42,10,2,0,14,4,11,3,10,3
handistCollections,handist.collections.dist,DistMap,486,492,42,30,109,125,53,54,30,41
handistCollections,handist.collections.dist,DistributedCollection,12,6,2,0,3,2,2,1,1,1
handistCollections,handist.collections.dist,DistChunkedList.Team,0,30,0,0,0,6,0,3,0,3
handistCollections,handist.collections.dist,LoadBalancer,627,0,56,0,125,0,35,0,7,0
handistCollections,handist.collections.dist,MapEntryDispatcher,39,400,4,28,9,86,5,24,2,11
handistCollections,handist.collections.dist,CachableChunkedList,240,678,18,46,58,164,31,58,17,40
handistCollections,handist.collections.dist,KeyRelocatable,41,0,4,0,10,0,5,0,3,0
handistCollections,handist.collections.dist,DistBag,134,96,8,0,31,27,15,13,11,13
handistCollections,handist.collections.dist,OneSidedMoveManager,2,252,1,9,1,57,1,13,0,9
handistCollections,handist.collections.dist,ElementLocationManager,338,324,44,32,54,71,35,23,4,16
handistCollections,handist.collections.dist,MapEntryDispatcher.TeamOperations,0,64,0,0,0,13,0,2,0,2
handistCollections,handist.collections.glb.lifeline,Hypercube,0,42,0,2,0,10,0,4,0,3
handistCollections,handist.collections.glb.lifeline,Lifeline,0,37,0,2,0,8,0,3,0,2
handistCollections,handist.collections.glb.lifeline,Loop,2,103,2,6,0,14,2,5,0,3
handistCollections,handist.collections.glb.lifeline,LifelineFactory,22,27,0,2,3,5,2,3,2,2
handistCollections,handist.collections.glb.lifeline,NoLifeline,5,9,0,0,1,3,1,2,1,2
handistCollections,handist.collections.launcher,Launcher,7,0,0,0,4,0,2,0,2,0
